Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
West Indies,England,England,7 wickets,Bridgetown,"Nov 10, 2024",T20I # 2943
South Africa,India,South Africa,3 wickets,Gqeberha,"Nov 10, 2024",T20I # 2942
Sri Lanka,New Zealand,New Zealand,5 runs,Dambulla,"Nov 10, 2024",T20I # 2941
West Indies,England,England,8 wickets,Bridgetown,"Nov 9, 2024",T20I # 2940
Sri Lanka,New Zealand,Sri Lanka,4 wickets,Dambulla,"Nov 9, 2024",T20I # 2939
South Africa,India,India,61 runs,Durban,"Nov 8, 2024",T20I # 2938
Uganda,Bahrain,Uganda,8 wickets,Jinja,"Oct 29, 2024",T20I # 2937
Uganda,Bahrain,Bahrain,17 runs,Jinja,"Oct 28, 2024",T20I # 2936
Kenya,Zimbabwe,Zimbabwe,61 runs,Nairobi (Gym),"Oct 24, 2024",T20I # 2934
Gambia,Mozambique,Mozambique,6 wickets,Nairobi (Ruaraka),"Oct 24, 2024",T20I # 2935
Rwanda,Seychelles,Rwanda,73 runs,Nairobi (Ruaraka),"Oct 24, 2024",T20I # 2933
Bhutan,Indonesia,Bhutan,1 wicket,Gelephu,"Oct 24, 2024",T20I # 2932
Mozambique,Rwanda,Mozambique,7 wickets,Nairobi (Gym),"Oct 23, 2024",T20I # 2930
Gambia,Zimbabwe,Zimbabwe,290 runs,Nairobi (Ruaraka),"Oct 23, 2024",T20I # 2931
Bhutan,Maldives,Maldives,7 wickets,Gelephu,"Oct 23, 2024",T20I # 2929
Kenya,Seychelles,Kenya,9 wickets,Nairobi (Ruaraka),"Oct 23, 2024",T20I # 2928
Indonesia,Thailand,Thailand,66 runs,Gelephu,"Oct 23, 2024",T20I # 2927
Kenya,Gambia,Kenya,129 runs,Nairobi (Gym),"Oct 22, 2024",T20I # 2925
Rwanda,Zimbabwe,Zimbabwe,149 runs,Nairobi (Ruaraka),"Oct 22, 2024",T20I # 2926
Bhutan,Indonesia,Bhutan,56 runs,Gelephu,"Oct 22, 2024",T20I # 2924
Mozambique,Seychelles,Mozambique,60 runs,Nairobi (Gym),"Oct 22, 2024",T20I # 2923
Maldives,Thailand,Thailand,44 runs,Gelephu,"Oct 22, 2024",T20I # 2922
U.S.A.,Nepal,Nepal,8 wickets,Dallas,"Oct 20, 2024",T20I # 2921
Kenya,Rwanda,Kenya,5 wickets,Nairobi (Gym),"Oct 20, 2024",T20I # 2920
Indonesia,Thailand,Thailand,6 wickets,Gelephu,"Oct 20, 2024",T20I # 2919
Mozambique,Zimbabwe,Zimbabwe,9 wickets,Nairobi (Gym),"Oct 20, 2024",T20I # 2918
Bhutan,Maldives,Bhutan,4 wickets,Gelephu,"Oct 20, 2024",T20I # 2917
U.S.A.,Nepal,tied,-,Dallas,"Oct 19, 2024",T20I # 2916
Seychelles,Zimbabwe,Zimbabwe,76 runs,Nairobi (Gym),"Oct 19, 2024",T20I # 2914
Kenya,Mozambique,Kenya,111 runs,Nairobi (Ruaraka),"Oct 19, 2024",T20I # 2915
Indonesia,Maldives,Maldives,23 runs,Gelephu,"Oct 19, 2024",T20I # 2913
Bhutan,Thailand,Thailand,77 runs,Gelephu,"Oct 19, 2024",T20I # 2912
Kenya,Seychelles,Kenya,91 runs,Nairobi,"Oct 18, 2024",T20I # 2911
U.S.A.,Nepal,Nepal,17 runs,Dallas,"Oct 17, 2024",T20I # 2910
Sri Lanka,West Indies,Sri Lanka,9 wickets,Dambulla,"Oct 17, 2024",T20I # 2909
Sri Lanka,West Indies,Sri Lanka,73 runs,Dambulla,"Oct 15, 2024",T20I # 2908
Sri Lanka,West Indies,West Indies,5 wickets,Dambulla,"Oct 13, 2024",T20I # 2907
Argentina,Mexico,Argentina,8 wickets,Seropedica,"Oct 13, 2024",T20I # 2906
Malawi,Rwanda,Rwanda,6 wickets,Blantyre,"Oct 13, 2024",T20I # 2905
India,Bangladesh,India,133 runs,Hyderabad,"Oct 12, 2024",T20I # 2904
Brazil,Mexico,Brazil,7 runs,Seropedica,"Oct 12, 2024",T20I # 2903
Malawi,Rwanda,Malawi,6 wickets,Blantyre,"Oct 12, 2024",T20I # 2902
Malawi,Rwanda,Malawi,5 runs,Blantyre,"Oct 12, 2024",T20I # 2901
Malawi,Rwanda,Rwanda,9 wickets,Blantyre,"Oct 10, 2024",T20I # 2900
India,Bangladesh,India,86 runs,Delhi,"Oct 9, 2024",T20I # 2899
Malawi,Rwanda,Rwanda,8 wickets,Blantyre,"Oct 9, 2024",T20I # 2898
India,Bangladesh,India,7 wickets,Gwalior,"Oct 6, 2024",T20I # 2897
Namibia,U.S.A.,U.S.A.,6 wickets,Windhoek,"Oct 5, 2024",T20I # 2896
Indonesia,Japan,Japan,144 runs,Incheon,"Oct 5, 2024",T20I # 2895
South Korea,Philippines,Philippines,101 runs,Incheon,"Oct 5, 2024",T20I # 2894
U.A.E.,U.S.A.,U.A.E.,6 runs,Windhoek,"Oct 4, 2024",T20I # 2893
South Korea,Japan,Japan,108 runs,Incheon,"Oct 4, 2024",T20I # 2892
Indonesia,Philippines,Indonesia,3 runs,Incheon,"Oct 4, 2024",T20I # 2891
Canada,Oman,Canada,5 wickets,King City (NW),"Oct 3, 2024",T20I # 2890
Nepal,Oman,Nepal,56 runs,King City (NW),"Oct 2, 2024",T20I # 2889
Namibia,U.A.E.,U.A.E.,6 wickets,Windhoek,"Oct 2, 2024",T20I # 2888
South Korea,Indonesia,Indonesia,27 runs,Incheon,"Oct 2, 2024",T20I # 2887
Japan,Philippines,Japan,27 runs,Incheon,"Oct 2, 2024",T20I # 2886
Canada,Nepal,Canada,4 wickets,King City (NW),"Oct 1, 2024",T20I # 2885
Namibia,U.S.A.,U.S.A.,13 runs,Windhoek,"Oct 1, 2024",T20I # 2884
South Korea,Philippines,Philippines,37 runs,Incheon,"Oct 1, 2024",T20I # 2883
Indonesia,Japan,Japan,53 runs,Incheon,"Oct 1, 2024",T20I # 2882
Canada,Oman,Oman,8 wickets,King City (NW),"Sep 30, 2024",T20I # 2880
Gibraltar,Serbia,Gibraltar,8 wickets,Gibraltar,"Sep 30, 2024",T20I # 2881
U.A.E.,U.S.A.,U.S.A.,15 runs,Windhoek,"Sep 30, 2024",T20I # 2879
Gibraltar,Serbia,Gibraltar,7 wickets,Gibraltar,"Sep 30, 2024",T20I # 2878
Nepal,Oman,Nepal,37 runs,King City (NW),"Sep 29, 2024",T20I # 2877
Ireland,South Africa,Ireland,10 runs,Abu Dhabi,"Sep 29, 2024",T20I # 2876
Namibia,U.A.E.,U.A.E.,40 runs,Windhoek,"Sep 29, 2024",T20I # 2875
South Korea,Japan,Japan,7 wickets,Incheon,"Sep 29, 2024",T20I # 2874
Indonesia,Philippines,Philippines,42 runs,Incheon,"Sep 29, 2024",T20I # 2873
Canada,Nepal,Canada,14 runs,King City (NW),"Sep 28, 2024",T20I # 2872
South Korea,Indonesia,Indonesia,2 wickets,Incheon,"Sep 28, 2024",T20I # 2871
Japan,Philippines,Japan,2 wickets,Incheon,"Sep 28, 2024",T20I # 2870
Ireland,South Africa,South Africa,8 wickets,Abu Dhabi,"Sep 27, 2024",T20I # 2869
Tanzania,Malawi,Tanzania,19 runs,Dar-es-Salaam,"Sep 26, 2024",T20I # 2868
Ghana,Mali,Ghana,10 wickets,Dar-es-Salaam,"Sep 26, 2024",T20I # 2866
Cameroon,Lesotho,Cameroon,9 wickets,Dar-es-Salaam,"Sep 26, 2024",T20I # 2867
Japan,Philippines,Japan,47 runs,Incheon,"Sep 26, 2024",T20I # 2865
Lesotho,Mali,Lesotho,112 runs,Dar-es-Salaam,"Sep 25, 2024",T20I # 2863
Cameroon,Malawi,Malawi,9 wickets,Dar-es-Salaam,"Sep 25, 2024",T20I # 2864
Tanzania,Ghana,Tanzania,7 wickets,Dar-es-Salaam,"Sep 25, 2024",T20I # 2862
Indonesia,Japan,Japan,4 runs,Incheon,"Sep 25, 2024",T20I # 2861
Tanzania,Cameroon,Tanzania,9 wickets,Dar-es-Salaam,"Sep 24, 2024",T20I # 2859
Malawi,Mali,Malawi,9 wickets,Dar-es-Salaam,"Sep 24, 2024",T20I # 2860
Ghana,Lesotho,Ghana,50 runs,Dar-es-Salaam,"Sep 24, 2024",T20I # 2858
Tanzania,Lesotho,Tanzania,122 runs,Dar-es-Salaam,"Sep 22, 2024",T20I # 2857
Cameroon,Mali,Cameroon,6 wickets,Dar-es-Salaam,"Sep 22, 2024",T20I # 2855
Ghana,Malawi,Malawi,25 runs,Dar-es-Salaam,"Sep 22, 2024",T20I # 2856
Cameroon,Ghana,Ghana,8 wickets,Dar-es-Salaam,"Sep 21, 2024",T20I # 2853
Tanzania,Mali,Tanzania,10 wickets,Dar-es-Salaam,"Sep 21, 2024",T20I # 2854
Lesotho,Malawi,Malawi,93 runs,Dar-es-Salaam,"Sep 21, 2024",T20I # 2852
England,Australia,England,3 wickets,Cardiff,"Sep 13, 2024",T20I # 2851
England,Australia,Australia,28 runs,Southampton,"Sep 11, 2024",T20I # 2850
Hong Kong,Kuwait,no result,-,Bangi,"Sep 9, 2024",T20I # 2849
Myanmar,Singapore,Singapore,8 wickets,Kuala Lumpur,"Sep 9, 2024",T20I # 2847
Malaysia,Mongolia,Malaysia,10 wickets,Bangi,"Sep 9, 2024",T20I # 2848
Scotland,Australia,Australia,6 wickets,Edinburgh,"Sep 7, 2024",T20I # 2846
Malaysia,Hong Kong,Malaysia,3 runs,Kuala Lumpur,"Sep 7, 2024",T20I # 2845
Scotland,Australia,Australia,70 runs,Edinburgh,"Sep 6, 2024",T20I # 2844
Maldives,Mongolia,Maldives,117 runs,Kuala Lumpur,"Sep 6, 2024",T20I # 2842
Kuwait,Singapore,Singapore,5 wickets,Bangi,"Sep 6, 2024",T20I # 2843
Maldives,Myanmar,Maldives,9 wickets,Kuala Lumpur,"Sep 5, 2024",T20I # 2841
Malaysia,Kuwait,Kuwait,8 wickets,Kuala Lumpur,"Sep 5, 2024",T20I # 2839
Mongolia,Singapore,Singapore,9 wickets,Bangi,"Sep 5, 2024",T20I # 2840
Scotland,Australia,Australia,7 wickets,Edinburgh,"Sep 4, 2024",T20I # 2838
Kuwait,Myanmar,Kuwait,8 wickets,Kuala Lumpur,"Sep 3, 2024",T20I # 2836
Malaysia,Singapore,Malaysia,1 run,Bangi,"Sep 3, 2024",T20I # 2837
Hong Kong,Maldives,Hong Kong,9 wickets,Bangi,"Sep 3, 2024",T20I # 2835
Mongolia,Myanmar,Myanmar,71 runs,Bangi,"Sep 2, 2024",T20I # 2834
Hong Kong,Singapore,Hong Kong,23 runs,Kuala Lumpur,"Sep 2, 2024",T20I # 2832
Kuwait,Maldives,Kuwait,142 runs,Bangi,"Sep 2, 2024",T20I # 2833
Hong Kong,Mongolia,Hong Kong,9 wickets,Kuala Lumpur,"Aug 31, 2024",T20I # 2831
Maldives,Singapore,Singapore,47 runs,Kuala Lumpur,"Aug 31, 2024",T20I # 2829
Malaysia,Myanmar,Malaysia,6 wickets,Bangi,"Aug 31, 2024",T20I # 2830
Kuwait,Mongolia,Kuwait,160 runs,Kuala Lumpur,"Aug 30, 2024",T20I # 2828
Malaysia,Maldives,Malaysia,94 runs,Kuala Lumpur,"Aug 30, 2024",T20I # 2826
Hong Kong,Myanmar,Hong Kong,9 wickets,Bangi,"Aug 30, 2024",T20I # 2827
Czech Rep.,Estonia,Estonia,7 wickets,Port Soif,"Aug 28, 2024",T20I # 2824
Guernsey,Denmark,Guernsey,6 wickets,Castel,"Aug 28, 2024",T20I # 2825
Netherlands,U.S.A.,Netherlands,4 runs,The Hague,"Aug 28, 2024",T20I # 2823
Cyprus,Malta,Cyprus,6 runs,Port Soif,"Aug 28, 2024",T20I # 2821
Finland,Spain,Spain,46 runs,Castel,"Aug 28, 2024",T20I # 2822
West Indies,South Africa,West Indies,8 wickets,Tarouba,"Aug 27, 2024",T20I # 2820
Czech Rep.,Greece,Czech Rep.,75 runs,Castel,"Aug 27, 2024",T20I # 2818
Estonia,Malta,Estonia,5 wickets,Port Soif,"Aug 27, 2024",T20I # 2819
Canada,U.S.A.,U.S.A.,20 runs,The Hague,"Aug 27, 2024",T20I # 2817
Cyprus,Denmark,Denmark,142 runs,Castel,"Aug 27, 2024",T20I # 2815
Bulgaria,Finland,Finland,125 runs,Port Soif,"Aug 27, 2024",T20I # 2816
Hong Kong,Kuwait,Kuwait,8 wickets,Kuala Lumpur,"Aug 27, 2024",T20I # 2814
Netherlands,Canada,Canada,8 runs,Utrecht,"Aug 26, 2024",T20I # 2813
Malaysia,Hong Kong,Hong Kong,7 runs,Kuala Lumpur,"Aug 26, 2024",T20I # 2812
West Indies,South Africa,West Indies,30 runs,Tarouba,"Aug 25, 2024",T20I # 2811
Guernsey,Estonia,Guernsey,5 wickets,Castel,"Aug 25, 2024",T20I # 2809
Greece,Spain,Spain,7 wickets,Port Soif,"Aug 25, 2024",T20I # 2810
Netherlands,U.S.A.,Netherlands,102 runs,Utrecht,"Aug 25, 2024",T20I # 2808
Bulgaria,Malta,Malta,61 runs,Castel,"Aug 25, 2024",T20I # 2806
Cyprus,Czech Rep.,Czech Rep.,4 wickets,Port Soif,"Aug 25, 2024",T20I # 2807
Malaysia,Kuwait,Kuwait,18 runs,Kuala Lumpur,"Aug 25, 2024",T20I # 2805
Cyprus,Greece,Cyprus,8 wickets,Castel,"Aug 24, 2024",T20I # 2803
Bulgaria,Estonia,Estonia,7 wickets,Port Soif,"Aug 24, 2024",T20I # 2804
Canada,U.S.A.,no result,-,Utrecht,"Aug 24, 2024",T20I # 2802
Guernsey,Finland,Finland,4 runs,Port Soif,"Aug 24, 2024",T20I # 2801
Hong Kong,Kuwait,Kuwait,2 wickets,Kuala Lumpur,"Aug 24, 2024",T20I # 2800
Samoa,Vanuatu,Samoa,8 runs,Apia (No 2),"Aug 24, 2024",T20I # 2799
Cook Islands,Fiji,Fiji,9 runs,Apia (No 2),"Aug 24, 2024",T20I # 2798
West Indies,South Africa,West Indies,7 wickets,Tarouba,"Aug 23, 2024",T20I # 2797
Netherlands,Canada,Netherlands,5 wickets,Utrecht,"Aug 23, 2024",T20I # 2796
Malaysia,Hong Kong,Hong Kong,6 wickets,Kuala Lumpur,"Aug 23, 2024",T20I # 2795
Samoa,Cook Islands,Cook Islands,8 wickets,Apia (No 2),"Aug 23, 2024",T20I # 2794
Fiji,Vanuatu,Fiji,5 wickets,Apia (No 2),"Aug 23, 2024",T20I # 2793
Guernsey,Malta,Guernsey,8 wickets,Castel,"Aug 22, 2024",T20I # 2791
Czech Rep.,Spain,Spain,1 run,Port Soif,"Aug 22, 2024",T20I # 2792
Estonia,Finland,Estonia,8 wickets,Castel,"Aug 22, 2024",T20I # 2789
Denmark,Greece,Denmark,32 runs,Port Soif,"Aug 22, 2024",T20I # 2790
Malaysia,Kuwait,Malaysia,5 wickets,Kuala Lumpur,"Aug 22, 2024",T20I # 2788
Czech Rep.,Denmark,Denmark,118 runs,Castel,"Aug 21, 2024",T20I # 2786
Finland,Malta,Finland,9 wickets,Port Soif,"Aug 21, 2024",T20I # 2787
Cyprus,Spain,Spain,15 runs,Castel,"Aug 21, 2024",T20I # 2784
Guernsey,Bulgaria,Guernsey,8 wickets,Port Soif,"Aug 21, 2024",T20I # 2785
Hong Kong,Kuwait,Kuwait,4 wickets,Kuala Lumpur,"Aug 21, 2024",T20I # 2783
Cook Islands,Vanuatu,Cook Islands,7 wickets,Apia (No 2),"Aug 21, 2024",T20I # 2782
Samoa,Fiji,Samoa,73 runs,Apia (No 2),"Aug 21, 2024",T20I # 2781
Cook Islands,Fiji,Fiji,104 runs,Apia (No 2),"Aug 20, 2024",T20I # 2780
Samoa,Vanuatu,Samoa,10 runs,Apia (No 2),"Aug 20, 2024",T20I # 2779
Fiji,Vanuatu,Vanuatu,36 runs,Apia (No 2),"Aug 19, 2024",T20I # 2778
Samoa,Cook Islands,Cook Islands,7 wickets,Apia (No 2),"Aug 19, 2024",T20I # 2777
Samoa,Fiji,Samoa,9 wickets,Apia (No 2),"Aug 17, 2024",T20I # 2776
Cook Islands,Vanuatu,Cook Islands,9 wickets,Apia (No 2),"Aug 17, 2024",T20I # 2775
Croatia,Spain,Spain,161 runs,Zagreb,"Aug 4, 2024",T20I # 2774
Croatia,Spain,Spain,140 runs,Zagreb,"Aug 4, 2024",T20I # 2773
Croatia,Spain,Spain,8 wickets,Zagreb,"Aug 3, 2024",T20I # 2772
Croatia,Spain,Spain,6 wickets,Zagreb,"Aug 3, 2024",T20I # 2771
Croatia,Spain,Spain,4 wickets,Zagreb,"Aug 2, 2024",T20I # 2770
Sri Lanka,India,tied,-,Pallekele,"Jul 30, 2024",T20I # 2769
Sri Lanka,India,India,7 wickets,Pallekele,"Jul 28, 2024",T20I # 2768
Sri Lanka,India,India,43 runs,Pallekele,"Jul 27, 2024",T20I # 2767
Kenya,Nigeria,Kenya,4 wickets,Nairobi,"Jul 17, 2024",T20I # 2766
Kenya,Nigeria,Nigeria,14 runs,Nairobi,"Jul 16, 2024",T20I # 2765
Kenya,Nigeria,Nigeria,3 wickets,Nairobi,"Jul 15, 2024",T20I # 2764
Jersey,Norway,Jersey,6 wickets,Krefeld,"Jul 14, 2024",T20I # 2763
Zimbabwe,India,India,42 runs,Harare,"Jul 14, 2024",T20I # 2762
Germany,Croatia,Germany,8 wickets,Krefeld,"Jul 14, 2024",T20I # 2761
Slovenia,Sweden,Sweden,6 wickets,Krefeld,"Jul 13, 2024",T20I # 2760
Croatia,Switzerland,Switzerland,7 wickets,Krefeld,"Jul 13, 2024",T20I # 2758
Zimbabwe,India,India,10 wickets,Harare,"Jul 13, 2024",T20I # 2759
Kenya,Nigeria,Kenya,4 wickets,Nairobi,"Jul 13, 2024",T20I # 2757
Gibraltar,Norway,Norway,6 runs,Krefeld,"Jul 13, 2024",T20I # 2756
Belgium,Serbia,Belgium,77 runs,Krefeld,"Jul 12, 2024",T20I # 2755
Kenya,Nigeria,Kenya,29 runs,Nairobi,"Jul 12, 2024",T20I # 2754
Serbia,Switzerland,Switzerland,40 runs,Krefeld,"Jul 11, 2024",T20I # 2753
Gibraltar,Sweden,Sweden,8 wickets,Krefeld,"Jul 11, 2024",T20I # 2752
Germany,Norway,Norway,11 runs,Krefeld,"Jul 11, 2024",T20I # 2751
Gibraltar,Slovenia,Slovenia,1 wicket,Krefeld,"Jul 10, 2024",T20I # 2750
Belgium,Jersey,Jersey,108 runs,Krefeld,"Jul 10, 2024",T20I # 2748
Zimbabwe,India,India,23 runs,Harare,"Jul 10, 2024",T20I # 2749
Croatia,Serbia,Croatia,28 runs,Krefeld,"Jul 10, 2024",T20I # 2747
Jersey,Switzerland,Jersey,167 runs,Krefeld,"Jul 9, 2024",T20I # 2746
Germany,Sweden,Germany,2 runs,Krefeld,"Jul 9, 2024",T20I # 2745
Norway,Slovenia,Norway,8 wickets,Krefeld,"Jul 9, 2024",T20I # 2744
Belgium,Croatia,Croatia,6 runs,Krefeld,"Jul 8, 2024",T20I # 2743
Norway,Sweden,Norway,53 runs,Krefeld,"Jul 8, 2024",T20I # 2742
Germany,Gibraltar,Germany,44 runs,Krefeld,"Jul 8, 2024",T20I # 2741
Belgium,Switzerland,Belgium,2 wickets,Krefeld,"Jul 7, 2024",T20I # 2740
Zimbabwe,India,India,100 runs,Harare,"Jul 7, 2024",T20I # 2739
Jersey,Serbia,Jersey,165 runs,Krefeld,"Jul 7, 2024",T20I # 2738
Zimbabwe,India,Zimbabwe,13 runs,Harare,"Jul 6, 2024",T20I # 2737
Malawi,Rwanda,Malawi,21 runs,Nairobi,"Jul 6, 2024",T20I # 2736
Kenya,Rwanda,Kenya,49 runs,Nairobi,"Jul 5, 2024",T20I # 2735
Kenya,Malawi,Kenya,67 runs,Nairobi,"Jul 4, 2024",T20I # 2734
Kenya,Rwanda,Kenya,4 wickets,Nairobi,"Jul 3, 2024",T20I # 2733
Malawi,Rwanda,Rwanda,9 wickets,Nairobi,"Jul 2, 2024",T20I # 2732
Kenya,Malawi,Kenya,9 wickets,Nairobi,"Jul 1, 2024",T20I # 2731
Slovenia,Serbia,Serbia,27 runs,Ljubljana,"Jun 30, 2024",T20I # 2730
India,South Africa,India,7 runs,Bridgetown,"Jun 29, 2024",T20I # 2729
Slovenia,Serbia,Slovenia,84 runs,Ljubljana,"Jun 29, 2024",T20I # 2728
Kenya,Rwanda,Kenya,6 wickets,Nairobi,"Jun 29, 2024",T20I # 2727
Slovenia,Serbia,Slovenia,43 runs,Ljubljana,"Jun 29, 2024",T20I # 2726
Malawi,Rwanda,Malawi,58 runs,Nairobi,"Jun 28, 2024",T20I # 2725
England,India,India,68 runs,Providence,"Jun 27, 2024",T20I # 2724
Afghanistan,South Africa,South Africa,9 wickets,Tarouba,"Jun 26, 2024",T20I # 2723
Afghanistan,Bangladesh,Afghanistan,8 runs,Kingstown,"Jun 24, 2024",T20I # 2722
Australia,India,India,24 runs,Gros Islet,"Jun 24, 2024",T20I # 2721
West Indies,South Africa,South Africa,3 wickets,North Sound,"Jun 23, 2024",T20I # 2720
England,U.S.A.,England,10 wickets,Bridgetown,"Jun 23, 2024",T20I # 2719
Guernsey,Jersey,Guernsey,4 wickets,Port Soif,"Jun 23, 2024",T20I # 2718
Afghanistan,Australia,Afghanistan,21 runs,Kingstown,"Jun 22, 2024",T20I # 2717
Bangladesh,India,India,50 runs,North Sound,"Jun 22, 2024",T20I # 2716
Guernsey,Jersey,Jersey,8 wickets,Castel,"Jun 22, 2024",T20I # 2715
Guernsey,Jersey,Jersey,7 wickets,Castel,"Jun 22, 2024",T20I # 2714
West Indies,U.S.A.,West Indies,9 wickets,Bridgetown,"Jun 21, 2024",T20I # 2713
England,South Africa,South Africa,7 runs,Gros Islet,"Jun 21, 2024",T20I # 2712
Australia,Bangladesh,Australia,28 runs,North Sound,"Jun 20, 2024",T20I # 2711
Afghanistan,India,India,47 runs,Bridgetown,"Jun 20, 2024",T20I # 2710
West Indies,England,England,8 wickets,Gros Islet,"Jun 19, 2024",T20I # 2709
South Africa,U.S.A.,South Africa,18 runs,North Sound,"Jun 19, 2024",T20I # 2708
Cyprus,Estonia,Estonia,31 runs,Episkopi,"Jun 19, 2024",T20I # 2707
Cyprus,Estonia,Cyprus,4 wickets,Episkopi,"Jun 19, 2024",T20I # 2706
Cyprus,Estonia,Estonia,26 runs,Episkopi,"Jun 18, 2024",T20I # 2705
Cyprus,Estonia,Cyprus,12 runs,Episkopi,"Jun 18, 2024",T20I # 2704
West Indies,Afghanistan,West Indies,104 runs,Gros Islet,"Jun 17, 2024",T20I # 2703
New Zealand,P.N.G.,New Zealand,7 wickets,Tarouba,"Jun 17, 2024",T20I # 2702
Cyprus,Estonia,Estonia,6 wickets,Episkopi,"Jun 17, 2024",T20I # 2701
Cyprus,Estonia,Estonia,5 wickets,Episkopi,"Jun 17, 2024",T20I # 2700
Netherlands,Sri Lanka,Sri Lanka,83 runs,Gros Islet,"Jun 16, 2024",T20I # 2699
Bangladesh,Nepal,Bangladesh,21 runs,Kingstown,"Jun 16, 2024",T20I # 2698
Ireland,Pakistan,Pakistan,3 wickets,Lauderhill,"Jun 16, 2024",T20I # 2697
Isle of Man,Portugal,Portugal,88 runs,Spinaceto,"Jun 16, 2024",T20I # 2695
Italy,Romania,Italy,160 runs,Rome,"Jun 16, 2024",T20I # 2696
Denmark,Jersey,Jersey,96 runs,Brondby,"Jun 16, 2024",T20I # 2694
Finland,Norway,Norway,9 wickets,Kerava,"Jun 16, 2024",T20I # 2693
Denmark,Jersey,Jersey,6 wickets,Brondby,"Jun 16, 2024",T20I # 2692
Austria,France,Austria,6 wickets,Rome,"Jun 16, 2024",T20I # 2690
Israel,Luxembourg,Israel,2 wickets,Spinaceto,"Jun 16, 2024",T20I # 2691
Australia,Scotland,Australia,5 wickets,Gros Islet,"Jun 15, 2024",T20I # 2689
England,Namibia,England,41 runs,North Sound,"Jun 15, 2024",T20I # 2688
France,Turkey,France,40 runs,Spinaceto,"Jun 15, 2024",T20I # 2686
Israel,Romania,Romania,24 runs,Rome,"Jun 15, 2024",T20I # 2687
Finland,Norway,Norway,7 wickets,Kerava,"Jun 15, 2024",T20I # 2685
Isle of Man,Luxembourg,Isle of Man,63 runs,Spinaceto,"Jun 15, 2024",T20I # 2683
Austria,Hungary,Austria,14 runs,Rome,"Jun 15, 2024",T20I # 2684
New Zealand,Uganda,New Zealand,9 wickets,Tarouba,"Jun 14, 2024",T20I # 2682
Nepal,South Africa,South Africa,1 run,Kingstown,"Jun 14, 2024",T20I # 2681
Finland,Norway,Norway,97 runs,Kerava,"Jun 14, 2024",T20I # 2680
Afghanistan,P.N.G.,Afghanistan,7 wickets,Tarouba,"Jun 13, 2024",T20I # 2679
England,Oman,England,8 wickets,North Sound,"Jun 13, 2024",T20I # 2678
